code,name,Strategy_Type,Close,TurnoverRate,RSI6,KDJ_J,Breakout_Pattern,Limit_Up_Today,Final_Score,Strategy_Rank
002870,香山股份,C_New_Strategy (最高共振),39.69,9.35,78.95212364692023,83.0222222222222,True,True,1181.1237697579265,0
002025,航天电器,A_Strong_Pullback (中风险接力),47.87,9.82,63.395317187752205,58.125605627914695,False,False,8.863896820352732,1
000700,模塑科技,A_Strong_Pullback (中风险接力),11.25,9.9,64.4126096166524,50.63063177184938,False,False,7.662792502528518,1
603895,天永智能,B_Low_Position_Start (低风险埋伏),29.3,4.08,65.74135604998929,59.918051792097984,False,False,268.2247326839563,2
000948,南天信息,B_Low_Position_Start (低风险埋伏),17.56,3.63,70.23702377518416,48.128895655428124,False,False,254.9603963039185,2
600106,重庆路桥,B_Low_Position_Start (低风险埋伏),6.5,2.87,74.26435227572583,64.14499605988976,False,False,213.13869103133314,2
002383,合众思壮,E_Leader_Restart (二次启动),11.74,24.0,78.95684635586665,75.73904593608569,True,False,3221.439331319359,3
002166,莱茵生物,E_Leader_Restart (二次启动),9.43,11.55,75.57951208180195,69.63657237242145,False,False,1484.0037197261813,3
605090,九丰能源,E_Leader_Restart (二次启动),40.74,8.4,75.78154983501607,88.15823512609893,True,False,1082.1605316440293,3
002427,尤夫股份,E_Leader_Restart (二次启动),6.69,5.72,70.26405157556638,81.13963653094089,False,False,683.2476375208074,3
603587,地素时尚,D_Strong_Breakout (高风险追涨/优化),13.77,2.92,73.66130561208684,62.97431627061877,True,False,236.60011362602293,4
